oracID_x,tipo_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,oracID_y,oracID_orig,tipo_y,palabra_y,pred_y,logit_pred_y,nCompletadas_y
55,1,que,3,0.7837837837837838,0.5593080109070124,37.0,275,55,1,que,0.7058823529411765,0.3802112417116061,34.0
55,1,Dios,4,0.0,-1.863322860120456,37.0,275,55,1,Dios,0.0,-1.8260748027008264,34.0
55,1,le,5,0.08108108108108109,-1.0543576623225928,37.0,275,55,1,le,0.029411764705882356,-1.5185139398778875,34.0
55,1,da,6,0.21621621621621626,-0.5593080109070125,37.0,275,55,1,da,0.1176470588235294,-0.8750612633917001,34.0
55,1,pan,7,0.7027027027027027,0.37358066281259306,37.0,275,55,1,pan,0.6176470588235294,0.20827594242708256,34.0
55,1,a,8,0.2702702702702703,-0.4313637641589873,37.0,275,55,1,a,0.3235294117647059,-0.3203351508593678,34.0
55,1,quien,9,0.4864864864864865,-0.023481095849522862,37.0,275,55,1,quien,0.6470588235294118,0.26324143477458145,34.0
55,1,no,10,0.8648648648648649,0.8061799739838874,37.0,275,55,1,no,0.8529411764705882,0.7634279935629372,34.0
55,1,tiene,11,0.8918918918918919,0.9164539485499252,37.0,275,55,1,tiene,0.8529411764705882,0.7634279935629372,34.0
55,1,dientes,12,0.8648648648648649,0.8061799739838874,37.0,275,55,1,dientes,0.8235294117647058,0.6690067809585755,34.0
56,1,Nunca,0,,,,276,56,1,Nunca,,,
56,1,olvides,1,0.0,-1.8976270912904412,40.0,276,56,1,olvides,0.0,-1.8512583487190752,36.0
56,1,que,2,0.825,0.6734158998636305,40.0,276,56,1,que,0.7777777777777778,0.5440680443502757,36.0
56,1,todos,3,0.0,-1.8976270912904412,40.0,276,56,1,todos,0.0,-1.8512583487190752,36.0
56,1,los,4,0.225,-0.5371191843949478,40.0,276,56,1,los,0.2777777777777778,-0.414973347970818,36.0
56,1,caminos,5,0.1,-0.9542425094393248,40.0,276,56,1,caminos,0.027777777777777776,-1.5440680443502757,36.0
56,1,conducen,6,0.625,0.2218487496163564,40.0,276,56,1,conducen,0.6388888888888888,0.24778448371075604,36.0
56,1,a,7,0.85,0.7533276666586115,40.0,276,56,1,a,0.8888888888888888,0.9030899869919432,36.0
56,1,Roma,8,0.85,0.7533276666586115,40.0,276,56,1,Roma,0.9166666666666666,1.041392685158225,36.0
57,1,No,0,,,,277,57,1,No,,,
57,1,le,1,0.03125,-1.4913616938342726,32.0,277,57,1,le,0.0,-1.7558748556724917,29.0
57,1,hagas,2,0.0,-1.7708520116421442,30.0,277,57,1,hagas,0.03448275862068965,-1.4471580313422192,29.0
57,1,caso:,3,0.3333333333333333,-0.30102999566398125,30.0,277,57,1,caso:,0.4137931034482759,-0.15126767533064914,29.0
57,1,a,4,0.1,-0.9542425094393248,30.0,277,57,1,a,0.03448275862068965,-1.4471580313422192,29.0
57,1,palabras,5,0.1,-0.9542425094393248,30.0,277,57,1,palabras,0.03448275862068965,-1.4471580313422192,29.0
57,1,necias,6,0.8666666666666667,0.8129133566428557,30.0,277,57,1,necias,0.4482758620689655,-0.09017663034908802,29.0
57,1,oídos,7,0.9,0.9542425094393249,30.0,277,57,1,oídos,0.8620689655172413,0.795880017344075,29.0
57,1,sordos,8,0.9666666666666668,1.4623979978989559,30.0,277,57,1,sordos,0.8965517241379308,0.9378520932511556,29.0
58,1,Ayer,0,,,,278,58,1,Ayer,,,
58,1,Candela,1,0.0,-1.863322860120456,37.0,278,58,1,Candela,0.0,-1.740362689494244,28.0
58,1,me,2,0.2702702702702703,-0.4313637641589873,37.0,278,58,1,me,0.21428571428571427,-0.5642714304385626,28.0
58,1,recordó,3,0.0,-1.863322860120456,37.0,278,58,1,recordó,0.0,-1.740362689494244,28.0
58,1,que,4,0.9189189189189191,1.054357662322593,37.0,278,58,1,que,0.9285714285714286,1.113943352306837,28.0
58,1,ojos,5,0.0,-1.863322860120456,37.0,278,58,1,ojos,0.0,-1.740362689494244,28.0
58,1,que,6,0.7837837837837838,0.5593080109070124,37.0,278,58,1,que,0.7142857142857143,0.3979400086720376,28.0
58,1,no,7,0.9189189189189191,1.054357662322593,37.0,278,58,1,no,0.7857142857142857,0.5642714304385625,28.0
58,1,ven,8,0.945945945945946,1.2430380486862944,37.0,278,58,1,ven,0.9285714285714286,1.113943352306837,28.0
58,1,corazón,9,0.972972972972973,1.5563025007672882,37.0,278,58,1,corazón,0.9285714285714286,1.113943352306837,28.0
58,1,que,10,0.972972972972973,1.5563025007672882,37.0,278,58,1,que,1.0,1.7403626894942426,28.0
58,1,no,11,0.972972972972973,1.5563025007672882,37.0,278,58,1,no,1.0,1.7403626894942426,28.0
58,1,siente,12,0.9189189189189191,1.054357662322593,37.0,278,58,1,siente,0.9642857142857144,1.4313637641589876,28.0
59,1,Me,0,,,,279,59,1,Me,,,
59,1,repitió,1,0.0,-1.8512583487190752,36.0,279,59,1,repitió,0.0,-1.6720978579357175,24.0
59,1,que,2,0.6666666666666666,0.30102999566398114,36.0,279,59,1,que,0.5833333333333334,0.14612803567823807,24.0
59,1,al,3,0.0,-1.8512583487190752,36.0,279,59,1,al,0.0,-1.6720978579357175,24.0
59,1,que,4,0.1111111111111111,-0.9030899869919436,36.0,279,59,1,que,0.04166666666666666,-1.3617278360175928,24.0
59,1,madruga,5,0.4722222222222222,-0.04830467957455503,36.0,279,59,1,madruga,0.5,0.0,24.0
59,1,Dios,6,0.9722222222222222,1.5440680443502754,36.0,279,59,1,Dios,0.9583333333333334,1.3617278360175933,24.0
59,1,lo,7,0.8611111111111112,0.7923916894982541,36.0,279,59,1,lo,0.875,0.8450980400142568,24.0
59,1,ayuda,8,1.0,1.8512583487190768,36.0,279,59,1,ayuda,1.0,1.6720978579357166,24.0
