id_orac_online,tipo_orac,tipo_orac_new,palabra,palNum,pred,logit_pred,nCompletadas
26,0,0,tuerto,7,0.75,0.47712125471966244,12.0
26,0,0,es,8,1.0,1.3617278360175933,12.0
26,0,0,Rey,9,0.9166666666666666,1.041392685158225,12.0
27,0,0,Al,0,,,
27,0,0,que,1,0.3076923076923077,-0.3521825181113625,13.0
27,0,0,quiere,2,0.0,-1.3979400086720375,13.0
27,0,0,celeste,3,0.5384615384615384,0.06694678963061314,13.0
27,0,0,que,4,0.8461538461538461,0.7403626894942439,13.0
27,0,0,le,5,0.8461538461538461,0.7403626894942439,13.0
27,0,0,cueste,6,1.0,1.397940008672038,13.0
28,0,0,Sobre,0,,,
28,0,0,gustos,1,0.08333333333333333,-1.041392685158225,12.0
28,0,0,no,2,1.0,1.3617278360175933,12.0
28,0,0,hay,3,1.0,1.3617278360175933,12.0
28,0,0,nada,4,1.0,1.3617278360175933,12.0
28,0,0,escrito,5,1.0,1.3617278360175933,12.0
29,0,0,Dime,0,,,
29,0,0,con,1,0.6666666666666666,0.30102999566398114,12.0
29,0,0,quién,2,0.9166666666666666,1.041392685158225,12.0
29,0,0,andas,3,0.9166666666666666,1.041392685158225,12.0
29,0,0,y,4,0.9166666666666666,1.041392685158225,12.0
29,0,0,te,5,0.9166666666666666,1.041392685158225,12.0
29,0,0,diré,6,0.8333333333333334,0.698970004336019,12.0
29,0,0,quién,7,0.8333333333333334,0.698970004336019,12.0
29,0,0,eres,8,1.0,1.3617278360175933,12.0
30,0,0,No,0,,,
30,0,0,está,1,0.08333333333333333,-1.041392685158225,12.0
30,0,0,muerto,2,0.16666666666666666,-0.6989700043360189,12.0
30,0,0,quien,3,0.9166666666666666,1.041392685158225,12.0
30,0,0,pelea,4,1.0,1.3617278360175933,12.0
31,0,0,Agua,0,,,
31,0,0,que,1,0.8333333333333334,0.698970004336019,12.0
31,0,0,no,2,1.0,1.3617278360175933,12.0
31,0,0,has,3,0.8333333333333334,0.698970004336019,12.0
31,0,0,de,4,1.0,1.3617278360175933,12.0
31,0,0,beber,5,0.9166666666666666,1.041392685158225,12.0
31,0,0,déjala,6,0.9166666666666666,1.041392685158225,12.0
31,0,0,correr,7,1.0,1.3617278360175933,12.0
32,0,0,Haz,0,,,
32,0,0,lo,1,0.23076923076923078,-0.5228787452803375,13.0
32,0,0,que,2,0.6923076923076923,0.3521825181113625,13.0
