id_orac,id_orac_online,tipo_orac_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,tipo_orac_y,tipo_orac_new,palabra_y,pred_y,logit_pred_y,nCompletadas_y
66,62.0,1,"camino,",3,0.944444444444444,1.41660667202811,18,1,0,camino,0.9166666666666666,1.041392685158225,12.0
66,62.0,1,se,4,0.944444444444444,1.41660667202811,18,1,0,se,0.9166666666666666,1.041392685158225,12.0
66,62.0,1,hace,5,0.944444444444444,1.41660667202811,18,1,0,hace,1.0,1.3617278360175933,12.0
66,62.0,1,camino,6,0.8888888888888891,1.03972077083992,18,1,0,camino,0.9166666666666666,1.041392685158225,12.0
66,62.0,1,al,7,0.944444444444444,1.41660667202811,18,1,0,al,0.75,0.4771212547196624,12.0
66,62.0,1,andar.,8,0.944444444444444,1.41660667202811,18,1,0,andar,1.0,1.3617278360175933,12.0
67,26.0,0,En,0,0.0,-1.77767403074471,18,0,0,En,,,
67,26.0,0,el,1,0.111111111111111,-1.03972077083992,18,0,0,el,0.0,-1.3617278360175928,12.0
67,26.0,0,país,2,0.0555555555555556,-1.41660667202811,18,0,0,país,0.0,-1.3617278360175928,12.0
67,26.0,0,de,3,0.7222222222222221,0.477755722513718,18,0,0,de,0.6666666666666666,0.30102999566398114,12.0
67,26.0,0,los,4,0.166666666666667,-0.8047189562170501,18,0,0,los,0.6666666666666666,0.30102999566398114,12.0
67,26.0,0,ciegos,5,0.5,0.0,18,0,0,ciegos,0.5833333333333334,0.14612803567823807,12.0
67,26.0,0,el,6,0.666666666666667,0.346573590279973,18,0,0,el,0.9166666666666666,1.041392685158225,12.0
67,26.0,0,tuerto,7,0.555555555555556,0.111571775657105,18,0,0,tuerto,0.75,0.4771212547196624,12.0
67,26.0,0,es,8,0.944444444444444,1.41660667202811,18,0,0,es,1.0,1.3617278360175933,12.0
67,26.0,0,Rey.,9,0.7777777777777779,0.6263814842476839,18,0,0,Rey,0.9166666666666666,1.041392685158225,12.0
68,101.0,2,En,0,0.222222222222222,-0.6263814842476839,18,2,1,En,,,
68,101.0,2,Londres,1,0.0,-1.77767403074471,18,2,1,Londres,0.0,-1.3617278360175928,12.0
68,101.0,2,el,2,0.111111111111111,-1.03972077083992,18,2,1,el,0.0,-1.3617278360175928,12.0
68,101.0,2,clima,3,0.277777777777778,-0.477755722513718,18,2,1,clima,0.16666666666666666,-0.6989700043360189,12.0
68,101.0,2,es,4,1.0,1.77767403074471,18,2,1,es,0.9166666666666666,1.041392685158225,12.0
68,101.0,2,muy,5,0.6111111111111109,0.225992561871529,18,2,1,muy,0.4166666666666667,-0.14612803567823793,12.0
68,101.0,2,húmedo.,6,0.555555555555556,0.111571775657105,18,2,1,húmedo,0.5833333333333334,0.14612803567823807,12.0
69,27.0,0,Al,0,0.111111111111111,-1.03972077083992,18,0,0,Al,,,
69,27.0,0,que,1,0.6111111111111109,0.225992561871529,18,0,0,que,0.3076923076923077,-0.3521825181113625,13.0
69,27.0,0,quiere,2,0.0555555555555556,-1.41660667202811,18,0,0,quiere,0.0,-1.3979400086720375,13.0
69,27.0,0,celeste,3,0.6111111111111109,0.225992561871529,18,0,0,celeste,0.5384615384615384,0.06694678963061314,13.0
69,27.0,0,que,4,0.944444444444444,1.41660667202811,18,0,0,que,0.8461538461538461,0.7403626894942439,13.0
69,27.0,0,le,5,0.944444444444444,1.41660667202811,18,0,0,le,0.8461538461538461,0.7403626894942439,13.0
69,27.0,0,cueste.,6,1.0,1.77767403074471,18,0,0,cueste,1.0,1.397940008672038,13.0
70,63.0,1,San,0,0.0,-1.77767403074471,18,1,1,San,,,
70,63.0,1,Martín,1,0.277777777777778,-0.477755722513718,18,1,1,Martín,0.08333333333333333,-1.041392685158225,12.0
70,63.0,1,cruzó,2,0.38888888888888895,-0.225992561871529,18,1,1,cruzó,0.5,0.0,12.0
70,63.0,1,los,3,1.0,1.77767403074471,18,1,1,los,0.75,0.4771212547196624,12.0
