id_text,palabra_x,palNum_x,pred_x,logit_pred_x,nCompletadas_x,palabra_y,palNum_y,palNumGobal,pred_y,logit_pred_y,nCompletadas_y
4,amaestrados,2197,0.0,-1.4313637641589874,14,amaestrados,2,2197,0.0,-2.285557309007774,97.0
4,como,2198,0.0,-1.113943352306837,7,como,3,2198,0.0,-2.285557309007774,97.0
4,esos,2199,0.0,-1.041392685158225,6,esos,4,2199,0.041237113402061855,-1.3664229572259727,97.0
4,que,2200,0.3,-0.3679767852945944,10,que,5,2200,0.5876288659793815,0.15381486434452904,97.0
4,tiene,2201,0.0,-1.3617278360175928,12,tiene,6,2201,0.041237113402061855,-1.3664229572259727,97.0
4,la,2202,0.363636363636364,-0.2430380486862937,11,la,7,2202,0.3917525773195876,-0.1910684150253341,97.0
4,policia,2203,0.25,-0.4771212547196625,8,policía,8,2203,0.2268041237113402,-0.5326385825694938,97.0
4,cuando,2510,0.0769230769230769,-1.0791812460476249,13,Cuando,0,2510,,,
4,salto,2511,0.0,-1.2787536009528289,10,saltó,1,2511,0.0,-2.2944662261615933,99.0
4,tenia,2512,0.0,-1.3617278360175928,12,tenía,2,2512,0.0,-2.281033367247728,96.0
4,la,2513,0.25,-0.4771212547196625,12,la,3,2513,0.11458333333333333,-0.8880262405560677,96.0
4,boca,2514,0.454545454545455,-0.07918124604762397,11,boca,4,2514,0.0,-2.281033367247728,96.0
4,muy,2515,0.0,-1.3222192947339193,11,muy,5,2515,0.02083333333333333,-1.6720978579357175,96.0
4,abierta,2516,0.857142857142857,0.7781512503836431,7,abierta,6,2516,0.5625,0.10914446942506807,96.0
4,y,2517,0.5,0.0,6,y,7,2517,0.7708333333333334,0.5268090389087701,96.0
4,le,2518,0.0,-1.1760912590556811,8,le,8,2518,0.09375,-0.9852767431792936,96.0
4,corria,2519,0.0,-1.3979400086720375,13,corría,9,2519,0.010416666666666666,-1.977723605288848,96.0
4,la,2520,0.2,-0.6020599913279624,5,la,10,2520,0.1875,-0.6368220975871743,96.0
4,baba,2521,0.375,-0.2218487496163564,8,baba,11,2521,0.08333333333333333,-1.041392685158225,96.0
4,entre,2522,0.0,-1.230448921378274,9,entre,12,2522,0.0,-2.281033367247728,96.0
4,los,2523,0.7777777777777779,0.5440680443502759,9,los,13,2523,0.7708333333333334,0.5268090389087701,96.0
4,colmillos,2524,0.153846153846154,-0.7403626894942434,13,colmillos,14,2524,0.0,-2.281033367247728,96.0
4,hacia,2967,0.0,-1.2787536009528289,10,Hacía,0,2967,,,
4,frio,2968,0.1,-0.9542425094393248,10,frío,1,2968,0.09375,-0.9852767431792936,96.0
4,y,2969,0.473684210526316,-0.045757490560674685,19,y,2,2969,0.4895833333333333,-0.018098222092796268,96.0
4,nevaba,2970,0.0,-0.8450980400142569,4,nevaba,3,2970,0.03125,-1.4913616938342726,96.0
4,lo,2971,0.0,-1.230448921378274,9,lo,4,2971,0.010416666666666666,-1.977723605288848,96.0
4,que,2972,0.28571428571428603,-0.39794000867203694,7,que,5,2972,0.3333333333333333,-0.30102999566398125,96.0
4,me,2973,0.14285714285714302,-0.7781512503836431,14,me,6,2973,0.15625,-0.7323937598229685,96.0
4,hizo,2974,0.23076923076923106,-0.5228787452803371,13,hizo,7,2974,0.10416666666666667,-0.9344984512435676,96.0
4,temer,2975,0.0,-1.3617278360175928,12,temer,8,2975,0.010416666666666666,-1.977723605288848,96.0
4,que,2976,1.0,1.113943352306837,7,que,9,2976,0.4479166666666667,-0.09080741402120243,96.0
4,no,2977,0.4,-0.17609125905568118,5,no,10,2977,0.2395833333333333,-0.5015950241028629,96.0
4,pudieramos,2978,0.0714285714285714,-1.113943352306837,14,pudiéramos,11,2978,0.02083333333333333,-1.6720978579357175,96.0
4,salir,2979,0.625,0.2218487496163564,8,salir,12,2979,0.25,-0.4771212547196625,96.0
4,de,2980,0.307692307692308,-0.3521825181113619,13,de,13,2980,0.5104166666666666,0.018098222092796133,96.0
4,casa,2981,0.4615384615384621,-0.06694678963061221,13,casa,14,2981,0.28125,-0.407485326578268,96.0
4,en,3023,0.0,-1.3979400086720375,13,En,0,3023,,,
4,paris,3024,0.0,-1.3617278360175928,12,París,1,3024,0.0,-2.2121876044039577,82.0
4,el,3025,0.0,-1.2787536009528289,10,el,2,3025,0.02531645569620253,-1.5854607295085006,79.0
4,invierno,3026,0.33333333333333304,-0.3010299956639817,12,invierno,3,3026,0.02531645569620253,-1.5854607295085006,79.0
4,es,3027,0.9090909090909092,0.9999999999999998,11,es,4,3027,0.8227848101265823,0.6667853209646177,79.0
4,riguroso,3028,0.0,-1.2787536009528289,10,riguroso,5,3028,0.0,-2.1958996524092336,79.0
4,y,3029,1.0,1.2304489213782737,9,y,6,3029,0.7721518987341772,0.5300573299074609,79.0
4,a,3030,0.0,-1.041392685158225,6,a,7,3030,0.0,-2.1958996524092336,79.0
4,las,3031,0.0,-0.8450980400142569,4,las,8,3031,0.0,-2.1958996524092336,79.0
4,cuatro,3032,0.0769230769230769,-1.0791812460476249,13,cuatro,9,3032,0.012658227848101266,-1.8920946026904804,79.0
4,de,3033,0.7142857142857142,0.3979400086720374,7,de,10,3033,0.6962025316455697,0.36015144778263786,79.0
4,la,3034,0.8461538461538459,0.740362689494243,13,la,11,3034,0.9746835443037974,1.5854607295085004,79.0
4,tarde,3035,0.7,0.3679767852945943,10,tarde,12,3035,0.8607594936708861,0.7911162275480114,79.0
4,ya,3036,0.6,0.17609125905568115,10,ya,13,3036,0.3164556962025317,-0.33445375115093084,79.0
4,esta,3037,0.0526315789473684,-1.2552725051033062,19,está,14,3037,0.05063291139240506,-1.2730012720637376,79.0
4,oscuro,3038,0.28571428571428603,-0.39794000867203694,14,oscuro,15,3038,0.5316455696202531,0.055047566330905365,79.0
4,para,3090,0.125,-0.8450980400142569,8,Para,0,3090,,,
4,mi,3091,0.0,-1.230448921378274,9,mí,1,3091,0.1176470588235294,-0.8750612633917001,85.0
4,era,3092,0.42857142857142894,-0.12493873660829932,7,era,2,3092,0.0,-2.227886704613673,85.0
4,un,3093,0.23076923076923106,-0.5228787452803371,13,un,3,3093,0.21176470588235294,-0.5708022975975203,85.0
4,mundo,3094,0.0,-1.2787536009528289,10,mundo,4,3094,0.0,-2.227886704613673,85.0
