oracID,tipo,palabra,palNum,pred,logit_pred,nCompletadas
125,2,sonsos,4,0.0,-1.8512583487190752,36.0
125,2,ya,5,0.0,-1.8512583487190752,36.0
125,2,le,6,0.0,-1.8512583487190752,36.0
125,2,pagué,7,0.0,-1.8512583487190752,36.0
125,2,todo,8,0.1111111111111111,-0.9030899869919435,36.0
125,2,en,9,0.027777777777777776,-1.5440680443502757,36.0
125,2,dólares,10,0.05555555555555555,-1.2304489213782739,36.0
126,2,La,0,,,
126,2,mujer,1,0.075,-1.0910804693473326,40.0
126,2,sabe,2,0.05128205128205128,-1.2671717284030137,39.0
126,2,que,3,0.7435897435897436,0.46239799789895614,39.0
126,2,cuando,4,0.05128205128205128,-1.2671717284030137,39.0
126,2,pelea,5,0.0,-1.8864907251724818,39.0
126,2,con,6,0.28205128205128205,-0.4057653461839942,39.0
126,2,su,7,0.2564102564102564,-0.46239799789895614,39.0
126,2,hijo,8,0.07692307692307693,-1.0791812460476249,39.0
126,2,pone,9,0.0,-1.8864907251724818,39.0
126,2,voz,10,0.0,-1.8864907251724818,39.0
126,2,grave,11,0.07692307692307693,-1.0791812460476249,39.0
126,2,y,12,0.28205128205128205,-0.4057653461839942,39.0
126,2,lo,13,0.05128205128205128,-1.2671717284030137,39.0
126,2,manda,14,0.02564102564102564,-1.5797835966168101,39.0
126,2,a,15,0.9743589743589743,1.57978359661681,39.0
126,2,dormir,16,0.41025641025641024,-0.1576078533616681,39.0
127,2,Facundo,0,,,
127,2,le,1,0.0,-1.7853298350107671,31.0
127,2,recordó,2,0.0,-1.7853298350107671,31.0
127,2,que,3,0.7741935483870968,0.5351132016973491,31.0
127,2,su,4,0.03225806451612903,-1.4771212547196626,31.0
127,2,mujer,5,0.03225806451612903,-1.4771212547196626,31.0
127,2,quiere,6,0.0,-1.7853298350107671,31.0
127,2,la,7,0.0,-1.7853298350107671,31.0
127,2,silla,8,0.0,-1.7853298350107671,31.0
128,2,Natalia,0,,,
128,2,le,1,0.025,-1.591064607026499,40.0
128,2,susurró,2,0.0,-1.8976270912904414,40.0
128,2,que,3,0.1,-0.9542425094393249,40.0
128,2,no,4,0.3,-0.3679767852945944,40.0
128,2,se,5,0.1,-0.9542425094393249,40.0
128,2,puede,6,0.15,-0.7533276666586115,40.0
128,2,mirar,7,0.0,-1.8976270912904414,40.0
128,2,el,8,0.025,-1.591064607026499,40.0
128,2,aire,9,0.0,-1.8976270912904414,40.0
128,2,porque,10,0.1,-0.9542425094393249,40.0
128,2,es,11,0.575,0.1312789146393189,40.0
128,2,invisible,12,0.6,0.17609125905568115,40.0
129,2,Sabemos,0,,,
129,2,que,1,0.7368421052631579,0.4471580313422191,38.0
129,2,siempre,2,0.02631578947368421,-1.568201724066995,38.0
129,2,la,3,0.0,-1.8750612633917,38.0
129,2,mantiene,4,0.0,-1.8750612633917,38.0
129,2,cerrada,5,0.0,-1.8750612633917,38.0
129,2,cuando,6,0.05263157894736842,-1.255272505103306,38.0
129,2,se,7,0.07894736842105263,-1.0669467896306133,38.0
129,2,amontona,8,0.0,-1.8750612633917,38.0
129,2,gente,9,0.23684210526315788,-0.5081554884596313,38.0
130,2,Entonces,0,,,
130,2,el,1,0.0,-1.7853298350107671,31.0
130,2,poeta,2,0.0,-1.7708520116421442,30.0
130,2,recitó:,3,0.03333333333333333,-1.462397997898956,30.0
130,2,Las,4,0.0,-1.7708520116421442,30.0
130,2,cenizas,5,0.0,-1.7708520116421442,30.0
130,2,están,6,0.0,-1.7708520116421442,30.0
130,2,volando,7,0.0,-1.7708520116421442,30.0
130,2,en,8,0.3,-0.3679767852945944,30.0
130,2,el,9,0.6666666666666666,0.30102999566398114,30.0
130,2,viento,10,0.16666666666666666,-0.6989700043360189,30.0
130,2,como,11,0.03333333333333333,-1.462397997898956,30.0
130,2,un,12,0.0,-1.7708520116421442,30.0
130,2,barrilete,13,0.0,-1.7708520116421442,30.0
131,2,Julia,0,,,
131,2,afirma,1,0.0,-1.8260748027008264,34.0
131,2,que,2,0.9411764705882353,1.2041199826559246,34.0
131,2,llora,3,0.0,-1.8260748027008264,34.0
131,2,cuando,4,0.29411764705882354,-0.3802112417116059,34.0
131,2,lee,5,0.0,-1.8260748027008264,34.0
131,2,ese,6,0.0,-1.8260748027008264,34.0
131,2,poema,7,0.11764705882352941,-0.8750612633917001,34.0
131,2,porque,8,0.0,-1.8260748027008264,34.0
131,2,está,9,0.0,-1.8260748027008264,34.0
131,2,bien,10,0.0,-1.8260748027008264,34.0
131,2,escrito,11,0.5882352941176471,0.15490195998574316,34.0
132,2,Te,0,,,
132,2,recuerdo,1,0.0,-1.9493900066449128,45.0
132,2,que,2,0.75,0.47712125471966244,44.0
132,2,él,3,0.11363636363636363,-0.8920946026904805,44.0
132,2,podrá,4,0.0,-1.9395192526186185,44.0
132,2,prevenir,5,0.0,-1.9395192526186185,44.0
132,2,el,6,0.09090909090909091,-1.0,44.0
132,2,final,7,0.0,-1.9395192526186185,44.0
132,2,cósmico,8,0.0,-1.9395192526186185,44.0
133,2,Entonces,0,,,
133,2,le,1,0.16666666666666666,-0.6989700043360189,36.0
133,2,contesté,2,0.0,-1.8512583487190752,36.0
133,2,riendo:,3,0.0,-1.8512583487190752,36.0
133,2,Le,4,0.0,-1.8512583487190752,36.0
133,2,diré,5,0.0,-1.8512583487190752,36.0
133,2,al,6,0.0,-1.8512583487190752,36.0
133,2,herrero,7,0.0,-1.8512583487190752,36.0
133,2,que,8,1.0,1.8512583487190768,36.0
133,2,lo,9,0.0,-1.8512583487190752,36.0
133,2,haga,10,0.4166666666666667,-0.14612803567823793,36.0
133,2,de,11,0.3611111111111111,-0.24778448371075604,36.0
133,2,hierro,12,0.2222222222222222,-0.5440680443502757,36.0
134,2,La,0,,,
134,2,Iglesia,1,0.0,-1.8388490907372554,35.0
134,2,predica,2,0.05714285714285714,-1.2174839442139063,35.0
134,2,que,3,0.4857142857142857,-0.0248235837250321,35.0
134,2,no,4,0.2,-0.6020599913279624,35.0
134,2,desearás,5,0.02857142857142857,-1.5314789170422551,35.0
134,2,ver,6,0.0,-1.8388490907372554,35.0
134,2,a,7,0.37142857142857144,-0.22847932851536945,35.0
134,2,tu,8,0.37142857142857144,-0.22847932851536945,35.0
134,2,prójimo,9,0.22857142857142856,-0.5282737771670437,35.0
134,2,en,10,0.22857142857142856,-0.5282737771670437,35.0
134,2,pecado,11,0.0,-1.8388490907372554,35.0
135,2,Creo,0,,,
135,2,que,1,0.7105263157894737,0.3899710790007623,38.0
135,2,la,2,0.13157894736842105,-0.8195439355418688,38.0
135,2,mona,3,0.0,-1.8750612633917,38.0
135,2,y,4,0.0,-1.8750612633917,38.0
135,2,el,5,0.6842105263157895,0.3357921019231932,38.0
135,2,mono,6,0.7894736842105263,0.5740312677277188,38.0
135,2,siempre,7,0.0,-1.8750612633917,38.0
135,2,maltratan,8,0.0,-1.8750612633917,38.0
135,2,al,9,0.2631578947368421,-0.44715803134221926,38.0
135,2,burro,10,0.0,-1.8750612633917,38.0
135,2,viejo,11,0.0,-1.8750612633917,38.0
136,2,Ramiro,0,,,
136,2,yo,1,0.0,-1.8260748027008264,34.0
136,2,voy,2,0.0,-1.8260748027008264,34.0
136,2,a,3,0.9705882352941176,1.5185139398778873,34.0
136,2,ser,4,0.058823529411764705,-1.2041199826559248,34.0
136,2,tu,5,0.17647058823529413,-0.6690067809585756,34.0
136,2,mejor,6,0.058823529411764705,-1.2041199826559248,34.0
136,2,compañía,7,0.0,-1.8260748027008264,34.0
137,2,Comentó,0,,,
137,2,que,1,0.6666666666666666,0.30102999566398114,33.0
137,2,no,2,0.18181818181818182,-0.6532125137753436,33.0
137,2,extraña,3,0.0,-1.8129133566428555,33.0
137,2,los,4,0.0,-1.8129133566428555,33.0
137,2,caminos,5,0.0,-1.8129133566428555,33.0
137,2,de,6,0.3939393939393939,-0.18708664335714448,33.0
137,2,piedra,7,0.0,-1.8129133566428555,33.0
138,2,Al,0,,,
138,2,terminar,1,0.0,-1.7558748556724915,29.0
138,2,se,2,0.07142857142857142,-1.113943352306837,28.0
138,2,despidió,3,0.07142857142857142,-1.113943352306837,28.0
138,2,murmurando:,4,0.0,-1.7403626894942439,28.0
138,2,Los,5,0.03571428571428571,-1.4313637641589874,28.0
138,2,que,6,0.2857142857142857,-0.39794000867203766,28.0
