id_orac,id_orac_online,tipo_orac,palabra,palNum,pred,logit_pred,nCompletadas
11,10,0,mucho,1,0.111111111111111,-1.03972077083992,18
11,10,0,abarca,2,0.666666666666667,0.346573590279973,18
11,10,0,poco,3,0.944444444444444,1.41660667202811,18
11,10,0,aprieta.,4,0.944444444444444,1.41660667202811,18
12,50,1,Aquiles,0,0.0,-1.7776740307447099,18
12,50,1,luchó,1,0.0,-1.7776740307447099,18
12,50,1,en,2,0.166666666666667,-0.8047189562170501,18
12,50,1,la,3,0.666666666666667,0.346573590279973,18
12,50,1,Guerra,4,0.33333333333333304,-0.346573590279973,18
12,50,1,de,5,0.944444444444444,1.41660667202811,18
12,50,1,Troya.,6,0.666666666666667,0.346573590279973,18
13,,2,Mario,0,0.0,-1.7776740307447099,18
13,,2,incorporó,1,0.0,-1.7776740307447099,18
13,,2,mucha,2,0.0,-1.7776740307447099,18
13,,2,información,3,0.222222222222222,-0.6263814842476839,18
13,,2,durante,4,0.0,-1.7776740307447099,18
13,,2,su,5,0.555555555555556,0.111571775657105,18
13,,2,vida.,6,0.166666666666667,-0.8047189562170501,18
14,11,0,En,0,0.111111111111111,-1.03972077083992,18
14,11,0,casa,1,0.0,-1.7776740307447099,18
14,11,0,de,2,0.444444444444444,-0.111571775657105,18
14,11,0,herrero,3,0.444444444444444,-0.111571775657105,18
14,11,0,cuchillo,4,0.944444444444444,1.41660667202811,18
14,11,0,de,5,1.0,1.7776740307447099,18
14,11,0,palo.,6,1.0,1.7776740307447099,18
15,51,1,En,0,0.0,-1.7776740307447099,18
15,51,1,Alaska,1,0.0,-1.7776740307447099,18
15,51,1,las,2,0.0,-1.7776740307447099,18
15,51,1,temperaturas,3,0.0555555555555556,-1.41660667202811,18
15,51,1,son,4,1.0,1.7776740307447099,18
15,51,1,muy,5,0.5,0.0,18
15,51,1,bajas.,6,0.944444444444444,1.41660667202811,18
16,90,2,En,0,0.111111111111111,-1.03972077083992,18
16,90,2,la,1,0.277777777777778,-0.47775572251371795,18
16,90,2,casa,2,0.277777777777778,-0.47775572251371795,18
16,90,2,de,3,0.8888888888888891,1.03972077083992,18
16,90,2,Juan,4,0.222222222222222,-0.6263814842476839,18
16,90,2,no,5,0.0555555555555556,-1.41660667202811,18
16,90,2,hay,6,0.7777777777777779,0.6263814842476839,18
16,90,2,animales.,7,0.0,-1.7776740307447099,18
17,12,0,Al,0,0.0,-1.7776740307447099,18
17,12,0,mal,1,0.0,-1.7776740307447099,18
17,12,0,tiempo,2,0.444444444444444,-0.111571775657105,18
17,12,0,buena,3,0.8888888888888891,1.03972077083992,18
17,12,0,cara.,4,0.944444444444444,1.41660667202811,18
18,,1,Cada,0,0.0,-1.7776740307447099,18
18,,1,quien,1,0.111111111111111,-1.03972077083992,18
18,,1,es,2,0.166666666666667,-0.8047189562170501,18
18,,1,cada,3,0.166666666666667,-0.8047189562170501,18
18,,1,cual.,4,0.6111111111111109,0.225992561871529,18
19,,2,Después,0,0.0,-1.7776740307447099,18
19,,2,de,1,1.0,1.7776740307447099,18
19,,2,escuchar,2,0.0,-1.7776740307447099,18
19,,2,la,3,0.111111111111111,-1.03972077083992,18
19,,2,noticia,4,0.0555555555555556,-1.41660667202811,18
19,,2,él,5,0.0,-1.7776740307447099,18
19,,2,quedó,6,0.0,-1.7776740307447099,18
19,,2,muy,7,0.0,-1.7776740307447099,18
19,,2,triste.,8,0.111111111111111,-1.03972077083992,18
20,13,0,Cuando,0,0.0,-1.7776740307447099,18
20,13,0,hay,1,0.0555555555555556,-1.41660667202811,18
